                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.0359,                0.57882,                 1.1415,                0.90257,                0.86737,                0.92627,                0.64786,                 1.1433,                0.59795,                 1.2501,              0.0006792,              0.0006792,              0.0006792
                     55,                 1.0287,                0.57625,                 1.1373,                0.88824,                0.87461,                0.93194,                0.64287,                 1.1695,                0.62469,                 1.2688,             0.00066506,             0.00066506,             0.00066506
                     56,                 1.0358,                0.58026,                 1.1474,                 0.9322,                0.84976,                0.93649,                0.65878,                 1.1534,                0.58477,                 1.2601,             0.00065091,             0.00065091,             0.00065091
                     57,                 1.0219,                0.56579,                 1.1377,                 0.9145,                 0.8674,                0.93594,                0.64906,                 1.1617,                0.59386,                 1.2697,             0.00063676,             0.00063676,             0.00063676
                     58,                 1.0183,                0.56807,                 1.1348,                0.90185,                 0.8813,                0.93012,                0.65253,                 1.1575,                0.59217,                 1.2669,             0.00062262,             0.00062262,             0.00062262
                     59,                 1.0235,                0.56446,                 1.1385,                0.90946,                0.85789,                0.93083,                0.64354,                 1.1703,                0.60279,                 1.2754,             0.00060847,             0.00060847,             0.00060847
                     60,                 1.0155,                0.55779,                 1.1292,                0.89727,                0.87282,                0.92939,                 0.6435,                 1.1585,                0.60513,                 1.2662,             0.00059432,             0.00059432,             0.00059432
                     61,                 1.0064,                0.55905,                 1.1263,                0.89191,                 0.8895,                0.93014,                0.64258,                 1.1673,                0.59817,                 1.2689,             0.00058017,             0.00058017,             0.00058017
                     62,                 1.0034,                0.55675,                  1.125,                0.91922,                0.87642,                0.93397,                0.65045,                 1.1513,                 0.5801,                 1.2668,             0.00056603,             0.00056603,             0.00056603
                     63,                 1.0001,                0.55356,                  1.121,                0.91171,                0.87591,                0.93522,                0.66275,                 1.1486,                0.58889,                 1.2548,             0.00055188,             0.00055188,             0.00055188
                     64,                 1.0039,                0.54855,                 1.1195,                0.89894,                0.88727,                  0.936,                0.65486,                 1.1521,                0.57596,                 1.2546,             0.00053773,             0.00053773,             0.00053773
                     65,                0.99475,                0.54392,                 1.1194,                0.93041,                0.86445,                0.93642,                0.65905,                 1.1462,                0.56874,                 1.2598,             0.00052359,             0.00052359,             0.00052359
                     66,                0.99883,                0.54742,                 1.1245,                0.92138,                0.87688,                0.94176,                0.66217,                 1.1479,                0.57388,                 1.2585,             0.00050944,             0.00050944,             0.00050944
                     67,                0.98948,                0.53818,                 1.1162,                 0.9219,                0.87543,                0.93749,                0.65456,                 1.1618,                0.57837,                 1.2777,             0.00049529,             0.00049529,             0.00049529
                     68,                0.98209,                0.53725,                  1.114,                0.90472,                0.88046,                0.93905,                0.66312,                 1.1439,                0.57178,                 1.2545,             0.00048114,             0.00048114,             0.00048114
                     69,                0.97718,                0.53741,                 1.1122,                0.89834,                0.89014,                0.93445,                0.65872,                 1.1519,                0.58355,                 1.2605,               0.000467,               0.000467,               0.000467
                     70,                0.98585,                0.53724,                 1.1182,                0.90867,                0.88809,                0.94074,                 0.6612,                 1.1428,                0.56191,                 1.2511,             0.00045285,             0.00045285,             0.00045285
                     71,                0.97617,                0.53176,                 1.1098,                0.91731,                0.87272,                 0.9357,                0.65836,                 1.1539,                0.58199,                 1.2604,              0.0004387,              0.0004387,              0.0004387
                     72,                0.98084,                0.53101,                 1.1064,                0.90747,                0.87913,                0.93264,                0.65627,                 1.1661,                0.58972,                 1.2649,             0.00042456,             0.00042456,             0.00042456
                     73,                0.97293,                0.52682,                 1.1066,                0.89138,                 0.9008,                0.93752,                0.66366,                 1.1445,                0.56424,                 1.2507,             0.00041041,             0.00041041,             0.00041041
                     74,                0.96402,                0.52726,                 1.1052,                0.92141,                0.87282,                 0.9363,                0.66411,                 1.1413,                0.57422,                 1.2467,             0.00039626,             0.00039626,             0.00039626
                     75,                0.96807,                0.51969,                 1.1029,                0.89475,                0.88348,                0.93495,                0.65725,                 1.1495,                0.57485,                 1.2614,             0.00038211,             0.00038211,             0.00038211
                     76,                0.95785,                0.51779,                  1.101,                0.90599,                0.88443,                0.94091,                0.66416,                 1.1397,                0.55983,                  1.248,             0.00036797,             0.00036797,             0.00036797
                     77,                0.96574,                 0.5191,                 1.0996,                0.92989,                0.86552,                0.93952,                0.66073,                 1.1507,                0.57907,                 1.2523,             0.00035382,             0.00035382,             0.00035382
                     78,                0.95668,                0.51633,                 1.0958,                0.91644,                0.88082,                0.94229,                0.66522,                 1.1599,                0.56665,                 1.2674,             0.00033967,             0.00033967,             0.00033967
                     79,                0.95741,                0.51217,                  1.101,                0.90444,                0.88856,                0.93664,                0.66487,                 1.1473,                0.57412,                 1.2521,             0.00032553,             0.00032553,             0.00032553
                     80,                0.95085,                 0.5076,                 1.0939,                0.91923,                0.87737,                0.93971,                0.66366,                 1.1559,                0.56539,                 1.2698,             0.00031138,             0.00031138,             0.00031138
                     81,                0.94625,                0.50644,                 1.0929,                0.91502,                 0.8874,                0.93824,                0.66172,                 1.1569,                0.56038,                 1.2647,             0.00029723,             0.00029723,             0.00029723
                     82,                0.94577,                0.50206,                 1.0921,                0.91207,                0.88719,                0.93911,                0.66363,                 1.1494,                0.56082,                 1.2598,             0.00028308,             0.00028308,             0.00028308
                     83,                0.94826,                0.50552,                 1.0891,                 0.9106,                0.88201,                0.93453,                0.65691,                 1.1448,                0.56605,                 1.2598,             0.00026894,             0.00026894,             0.00026894
